cluster_id	uri	labels	roleTypes	eventTypes
82	https://archief.amsterdam/indexen/deeds/05dfc569-61ee-490d-90ed-e8136e14cd5d?person=961f6b0f-41a1-53f7-e053-b784100aa83b	Abraham Pelt	https://data.goldenagents.org/thesaurus/Vader	https://data.goldenagents.org/thesaurus/Doop
82	https://archief.amsterdam/indexen/deeds/95e546d9-c0a1-4799-b452-aa93aae0db06?person=961f6ad3-7690-53f7-e053-b784100aa83b	Abraham Pelt	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
85	https://archief.amsterdam/indexen/deeds/f9f8985e-8eec-4d28-9349-a6099537bbcc?person=961f6b0e-c12c-53f7-e053-b784100aa83b	Daniel des Ruelles	https://data.goldenagents.org/thesaurus/Vader	https://data.goldenagents.org/thesaurus/Doop
85	https://archief.amsterdam/indexen/deeds/05c4afbe-1d60-4ee1-9374-ffea80614807?person=961f6ad4-39ac-53f7-e053-b784100aa83b	Daniel des Ruelles	https://data.goldenagents.org/thesaurus/Vader	https://data.goldenagents.org/thesaurus/Doop
85	https://archief.amsterdam/indexen/deeds/12050bd1-4fdf-4653-a502-2df9cb832b80?person=961f6b23-43d3-53f7-e053-b784100aa83b	Daniel des Ruelles; Des Ruelles, Daniel	https://data.goldenagents.org/thesaurus/Bruidegom	https://data.goldenagents.org/thesaurus/Ondertrouw
85	https://archief.amsterdam/indexen/deeds/57fe5f1f-5e59-40ca-8e7d-9b24f77b74e7?person=961f6b09-df36-53f7-e053-b784100aa83b	Daniel des Ruelles	https://data.goldenagents.org/thesaurus/Vader	https://data.goldenagents.org/thesaurus/Doop
85	https://archief.amsterdam/indexen/deeds/d2ab4258-7967-4d46-8428-2c7b8d0c3c8d?person=961f6aea-9cc1-53f7-e053-b784100aa83b	Daniel de Ruelles	https://data.goldenagents.org/thesaurus/Vader	https://data.goldenagents.org/thesaurus/Doop
87	https://archief.amsterdam/indexen/deeds/ee383c1c-581f-4692-812d-db0787db7605?person=961f6ad4-f984-53f7-e053-b784100aa83b	Clara Catharina Graafland	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
87	https://archief.amsterdam/indexen/deeds/3e5aa10f-8be5-4ff9-878a-48156d54318e?person=961f6aeb-1075-53f7-e053-b784100aa83b	Clara Catharina Graafland	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
88	https://archief.amsterdam/indexen/deeds/8da5e3f9-b10e-491b-a18f-3de97849da72?person=961f6b14-96a7-53f7-e053-b784100aa83b	Abraham Bruijn; Abraham Bruin; Bruin, Abraham	https://data.goldenagents.org/thesaurus/Bruidegom, https://data.goldenagents.org/thesaurus/Vader	https://data.goldenagents.org/thesaurus/Ondertrouw, https://data.goldenagents.org/thesaurus/Doop
