c,location,Standardized_Location1,Type_Location1,Link_Location_1_Adamlink,Link_Location_1_Wikidata,Standardized_Location2,Type_Location2,Link_Location_2_Adamlink,Link_Location_2_Wikidata,religion,Location1_Religion1,Location1_Religion2,Location2_Religion1,Location2_Religion2,Remark
2377,https://data.goldenagents.org/thesaurus/Westerkerk,Westerkerk,http://www.wikidata.org/entity/Q34627,https://adamlink.nl/geo/building/westerkerk/173,,,,,,https://data.goldenagents.org/thesaurus/WaalsHervormd,https://www.wikidata.org/entity/Q2244918,,,,In dit geval is op recordniveau eerder al juist de koppeling tussen kerk en religie vastgesteld
2254,https://data.goldenagents.org/thesaurus/EngelsPresbyteriaanseKerk,Begijnhofkerk,http://www.wikidata.org/entity/Q34627,https://adamlink.nl/geo/building/engelse-kerk/178,,,,,,https://data.goldenagents.org/thesaurus/EngelsPresbyteriaans,https://www.wikidata.org/entity/Q178169,,,,
2233,https://data.goldenagents.org/thesaurus/EilandsKerk,Eilandskerk,http://www.wikidata.org/entity/Q34627,https://adamlink.nl/geo/building/eilandskerk/638,,,,,,,https://www.wikidata.org/entity/Q515880,,,,
2046,https://data.goldenagents.org/thesaurus/KerkInDeVinkenstraat,Kerk In De Vinkenstraat,http://www.wikidata.org/entity/Q1817647,https://adamlink.nl/geo/building/vinkenstraat-160162/824,,,,,,https://data.goldenagents.org/thesaurus/OudKatholiek,https://www.wikidata.org/entity/Q1841,https://www.wikidata.org/entity/Q5169816,,,Gegevens Adamlink kunnen worden aangevuld
1623,https://data.goldenagents.org/thesaurus/KerkOpDeRaamgracht,Kerk Op De Raamgracht,http://www.wikidata.org/entity/Q1817647,,,,,,,https://data.goldenagents.org/thesaurus/RoomsKatholiek,https://www.wikidata.org/entity/Q1841,,,,Kerk zou nog aan Adamlink kunnen worden toegevoegd
1555,https://data.goldenagents.org/thesaurus/KerkDeLiefde,Kerk De Liefde,http://www.wikidata.org/entity/Q1817647,,,,,,,https://data.goldenagents.org/thesaurus/RoomsKatholiek,https://www.wikidata.org/entity/Q1841,,,,Kerk zou nog aan Adamlink kunnen worden toegevoegd
1406,https://data.goldenagents.org/thesaurus/KerkDeBonteKraaien,Kerk De Drie Bonte Kraaien,http://www.wikidata.org/entity/Q1817647,https://adamlink.nl/geo/building/huis-aan-de-bonte-kraaiengang/812,,,,,,https://data.goldenagents.org/thesaurus/OudKatholiek,https://www.wikidata.org/entity/Q1841,https://www.wikidata.org/entity/Q5169816,,,
1360,https://data.goldenagents.org/thesaurus/KerkInHetJongenshuis,Kerk In Het Jongensweeshuis,http://www.wikidata.org/entity/Q1817647,https://adamlink.nl/geo/building/amstelstad/335,,,,,,https://data.goldenagents.org/thesaurus/OudKatholiek,https://www.wikidata.org/entity/Q1841,https://www.wikidata.org/entity/Q5169816,,,Gegevens Adamlink kunnen worden aangevuld (kerk bestaat sinds 1697?)
1178,https://data.goldenagents.org/thesaurus/KerkDeZon,Kerk De Zon,http://www.wikidata.org/entity/Q1817647,,,,,,,https://data.goldenagents.org/thesaurus/Doopsgezind,https://www.wikidata.org/entity/Q182320,,,,Kerk zou nog aan Adamlink kunnen worden toegevoegd
1035,https://data.goldenagents.org/thesaurus/KerkDeOoijevaar,Kerk De Ooijevaar,http://www.wikidata.org/entity/Q1817647,,,,,,,https://data.goldenagents.org/thesaurus/OudKatholiek,https://www.wikidata.org/entity/Q1841,https://www.wikidata.org/entity/Q5169816,,,Kerk zou nog aan Adamlink kunnen worden toegevoegd
1023,https://data.goldenagents.org/thesaurus/KerkDePauw,Kerk De Pauw,http://www.wikidata.org/entity/Q1817647,,,,,,,https://data.goldenagents.org/thesaurus/OudKatholiek,https://www.wikidata.org/entity/Q1841,https://www.wikidata.org/entity/Q5169816,,,Kerk zou nog aan Adamlink kunnen worden toegevoegd
630,https://data.goldenagents.org/thesaurus/Gasthuiskerk,Gasthuiskerk,http://www.wikidata.org/entity/Q34627,https://adamlink.nl/geo/building/gasthuiskerk/857,,,,,,https://data.goldenagents.org/thesaurus/HersteldEvangelischLuthers,http://www.wikidata.org/entity/Q112796391,,,,
501,https://data.goldenagents.org/thesaurus/RemonstrantseKerk,Remonstrantse Kerk,http://www.wikidata.org/entity/Q1817647,https://adamlink.nl/geo/building/de-rode-hoed/12,,,,,,https://data.goldenagents.org/thesaurus/Remonstrant,https://www.wikidata.org/entity/Q284561,,,,
382,https://data.goldenagents.org/thesaurus/EngelsEpiscopaalseKerk,Engels Episcopale Kerk,http://www.wikidata.org/entity/Q34627,,,,,,,https://data.goldenagents.org/thesaurus/EngelsEpiscopaals,https://www.wikidata.org/entity/Q82708,,,,Kerk zou nog aan Adamlink kunnen worden toegevoegd
348,https://data.goldenagents.org/thesaurus/WaalseKerk,,,,,,,,,https://data.goldenagents.org/thesaurus/WaalsHervormd,https://www.wikidata.org/entity/Q2244918,,,,
251,https://data.goldenagents.org/thesaurus/Eilandskerk,Eilandskerk,http://www.wikidata.org/entity/Q34627,https://adamlink.nl/geo/building/eilandskerk/638,,,,,,,https://www.wikidata.org/entity/Q515880,,,,
243,https://data.goldenagents.org/thesaurus/KerkDeArkeNoachs,Kerk De Arke Noachs,http://www.wikidata.org/entity/Q1817647,,,,,,,https://data.goldenagents.org/thesaurus/Doopsgezind,https://www.wikidata.org/entity/Q182320,,,,Kerk zou nog aan Adamlink kunnen worden toegevoegd
92,https://data.goldenagents.org/thesaurus/KerkDeKruikjes,Kerk De Kruikjes,http://www.wikidata.org/entity/Q1817647,,,,,,,https://data.goldenagents.org/thesaurus/Doopsgezind,https://www.wikidata.org/entity/Q182320,,,,Kerk zou nog aan Adamlink kunnen worden toegevoegd
81,https://data.goldenagents.org/thesaurus/RegisterVanHetRegimentOranjeNassau,,,,,,,,,,,,,,
64,https://data.goldenagents.org/thesaurus/Westerkerk,Westerkerk,http://www.wikidata.org/entity/Q34627,https://adamlink.nl/geo/building/westerkerk/173,,,,,,,https://www.wikidata.org/entity/Q515880,,,,
39,https://data.goldenagents.org/thesaurus/Paleiskapel,Paleiskapel,http://www.wikidata.org/entity/Q34627,https://adamlink.nl/geo/building/paleis-op-de-dam/1221,,,,,,https://data.goldenagents.org/thesaurus/RoomsKatholiek,https://www.wikidata.org/entity/Q1841,,,,
33,https://data.goldenagents.org/thesaurus/GrieksKatholiekeKerk,Kerk De Drie Valken,http://www.wikidata.org/entity/Q1817647,,,,,,,https://data.goldenagents.org/thesaurus/GrieksKatholiek,https://www.wikidata.org/entity/Q44476,,,,
19,https://data.goldenagents.org/thesaurus/OudezijdsKapel,Oudezijds Kapel,http://www.wikidata.org/entity/Q34627,https://adamlink.nl/geo/building/sint-olofskapel/174,,,,,,,https://www.wikidata.org/entity/Q515880,https://www.wikidata.org/entity/Q1841,,,
11,https://data.goldenagents.org/thesaurus/OudeLutherseKerk,Oude Lutherse Kerk,http://www.wikidata.org/entity/Q34627,https://adamlink.nl/geo/building/oude-lutherse-kerk/1230,,,,,,https://data.goldenagents.org/thesaurus/EvangelischLuthers,https://www.wikidata.org/entity/Q75809,,,,
4,https://data.goldenagents.org/thesaurus/RegisterVanOverledenenInHetGastEnPesthuis,,,,,,,,,,,,,,
2,https://data.goldenagents.org/thesaurus/DoodenboekenOfRegistersVanHaaldooden,,,,,,,,,,,,,,
1,https://data.goldenagents.org/thesaurus/LutherseKerk,,,,,,,,,https://data.goldenagents.org/thesaurus/Hervormd,https://www.wikidata.org/entity/Q75809,,,,
1,https://data.goldenagents.org/thesaurus/NieuweLutherseKerk,Nieuwe Lutherse Kerk,Church,https://adamlink.nl/geo/building/koepelkerk/1,,,,,,https://data.goldenagents.org/thesaurus/EvangelischLuthers,https://www.wikidata.org/entity/Q75809,,,,
1,https://data.goldenagents.org/thesaurus/OudezijdsKapel,Oudezijds Kapel,Church,https://adamlink.nl/geo/building/sint-olofskapel/174,,,,,,https://data.goldenagents.org/thesaurus/EvangelischLuthers,https://www.wikidata.org/entity/Q515880,https://www.wikidata.org/entity/Q1841,,,
1,https://data.goldenagents.org/thesaurus/KkhKarthuizerKerkhof,Karthuizer Kerkhof,http://www.wikidata.org/entity/Q39614,,http://www.wikidata.org/entity/Q112796043,,,,,,,,,,
